frame_idx,timestamp_sec,num_tracked_vehicles,accident_score,is_accident,involved_ids,collisions,tracks_summary
150,4.966,3,0,False,,,"ID:17(motorcycle,spd:0.1) | ID:18(car,spd:0.2) | ID:19(car,spd:5.0)"
151,5.0,3,0,False,,,"ID:17(motorcycle,spd:0.0) | ID:18(car,spd:0.1) | ID:19(car,spd:5.3)"
152,5.033,3,0,False,,,"ID:17(motorcycle,spd:0.2) | ID:18(car,spd:0.1) | ID:19(car,spd:6.3)"
153,5.066,3,0,False,,,"ID:17(motorcycle,spd:0.1) | ID:18(car,spd:0.1) | ID:19(car,spd:5.0)"
154,5.1,3,0,False,,,"ID:17(motorcycle,spd:0.0) | ID:18(car,spd:0.1) | ID:19(car,spd:6.2)"
155,5.133,3,0,False,,,"ID:17(motorcycle,spd:0.1) | ID:18(car,spd:0.1) | ID:19(car,spd:2.1)"
156,5.166,3,0,False,,,"ID:17(motorcycle,spd:0.1) | ID:18(car,spd:0.1) | ID:19(car,spd:3.6)"
157,5.2,3,0,False,,,"ID:17(motorcycle,spd:0.2) | ID:18(car,spd:0.0) | ID:19(car,spd:3.3)"
158,5.233,3,0,False,,,"ID:17(motorcycle,spd:0.1) | ID:18(car,spd:0.3) | ID:19(car,spd:3.0)"
159,5.266,3,0,False,,,"ID:17(motorcycle,spd:0.1) | ID:18(car,spd:0.2) | ID:19(car,spd:3.4)"
160,5.3,3,0,False,,,"ID:17(motorcycle,spd:8.1) | ID:18(car,spd:0.3) | ID:19(car,spd:3.1)"
161,5.333,3,0,False,,,"ID:17(motorcycle,spd:4.7) | ID:18(car,spd:2.2) | ID:19(car,spd:1.0)"
162,5.366,3,0,False,,,"ID:17(motorcycle,spd:5.1) | ID:18(car,spd:1.1) | ID:19(car,spd:1.7)"
163,5.4,3,0,False,,,"ID:17(motorcycle,spd:0.8) | ID:18(car,spd:1.4) | ID:19(car,spd:2.3)"
164,5.433,3,0,False,,,"ID:17(motorcycle,spd:1.1) | ID:18(car,spd:1.5) | ID:19(car,spd:2.4)"
165,5.466,3,0,False,,,"ID:17(motorcycle,spd:8.9) | ID:18(car,spd:1.9) | ID:19(car,spd:2.1)"
166,5.5,3,0,False,,,"ID:17(motorcycle,spd:8.9) | ID:18(car,spd:0.7) | ID:19(car,spd:2.4)"
167,5.533,3,0,False,,,"ID:17(motorcycle,spd:0.3) | ID:18(car,spd:0.3) | ID:19(car,spd:0.8)"
168,5.566,3,0,False,,,"ID:17(motorcycle,spd:5.3) | ID:18(car,spd:0.2) | ID:19(car,spd:1.9)"
169,5.6,3,0,False,,,"ID:17(motorcycle,spd:2.3) | ID:18(car,spd:0.1) | ID:19(car,spd:1.4)"
170,5.633,3,0,False,,,"ID:17(motorcycle,spd:2.3) | ID:18(car,spd:0.2) | ID:19(car,spd:2.5)"
171,5.666,3,0,False,,,"ID:17(motorcycle,spd:11.8) | ID:18(car,spd:0.3) | ID:19(car,spd:2.2)"
172,5.699,3,0,False,,,"ID:17(motorcycle,spd:1.1) | ID:18(car,spd:0.4) | ID:19(car,spd:1.8)"
173,5.733,3,0,False,,,"ID:17(motorcycle,spd:4.7) | ID:18(car,spd:0.1) | ID:19(car,spd:0.7)"
174,5.766,3,0,False,,,"ID:17(motorcycle,spd:2.2) | ID:18(car,spd:0.3) | ID:19(car,spd:0.5)"
175,5.799,3,0,False,,,"ID:17(motorcycle,spd:5.0) | ID:18(car,spd:0.2) | ID:19(car,spd:0.3)"
176,5.833,3,0,False,,,"ID:17(motorcycle,spd:0.1) | ID:18(car,spd:0.0) | ID:19(car,spd:1.1)"
177,5.866,3,0,False,,,"ID:17(motorcycle,spd:0.5) | ID:18(car,spd:0.1) | ID:19(car,spd:0.5)"
